plz	provider	tarif	price
59558	Adcuri	Top	74,92
59558	Adcuri	Premium	96,08
59558	Allstern	1 Stern	49,53
59558	Allstern	2 Sterne	54,36
59558	Allstern	3 Sterne	69,46
59558	Ammerländer	Basic	30,20
59558	Ammerländer	Economic	39,26
59558	Ammerländer	Comfort	51,34
59558	Ammerländer	Exclusiv	57,38
59558	Ammerländer	Excellent	66,44
59558	ARAG	Basis	95,20
59558	ARAG	Komfort	120,80
59558	ARAG	Premium	155,20
59558	asspario	fair select	56,77
59558	asspario	best select	67,04
59558	asspario	top select	77,91
59558	Baden-Badener	Hausratversicherung	112,52
59558	BarmeniaDirekt	Kompakt-Schutz	54,80
59558	BarmeniaDirekt	Basis-Schutz	57,03
59558	BarmeniaDirekt	Top-Schutz	74,90
59558	BarmeniaDirekt	Premium-Schutz	96,05
59558	BavariaDirekt	Junge Leute	63,57
59558	BavariaDirekt	Einfach Sicher	69,22
59558	BavariaDirekt	Junge Leute Plus	69,22
59558	BGV / Badische Versicherungen	Basis	63,13
59558	BGV / Badische Versicherungen	Klassik	95,23
59558	BGV / Badische Versicherungen	Exklusiv	127,88
59558	DEVK	Komfort	77,28
59558	DEVK	Premium	98,00
59558	die Bayerische	Smart	61,30
59558	die Bayerische	Komfort	72,10
59558	die Bayerische	Prestige	81,80
59558	Die Haftpflichtkasse	Einfach Gut	96,64
59558	Die Haftpflichtkasse	Einfach Besser	114,76
59558	Die Haftpflichtkasse	Einfach Komplett	137,99
59558	DOCURA	SMART	53,15
59558	DOCURA	PROTECT	75,50
59558	ERGO	Hausratversicherung	134,08
59558	ERGO	Premium Hausratversicherung	181,30
59558	Gothaer	Hausrat	66,56
59558	Gothaer	HausratTop	101,56
59558	Gothaer	HausratTop mit PlusDeckung	115,90
59558	Grundeigentümer	Pro Domo Basis	80,93
59558	Grundeigentümer	Pro Domo Kompakt	96,64
59558	Grundeigentümer	Pro Domo Premium	111,88
59558	GVO	VIT Junge Leute	39,32
59558	GVO	TOP-VIT Junge Leute	54,54
59558	HanseMerkur	Grund-Schutz	63,25
59558	HanseMerkur	Kompakt	78,77
59558	HanseMerkur	Top	96,60
59558	Helvetia	Basisschutz	68,69
59558	Helvetia	Komfortschutz	86,90
59558	Inter	Basis	119,59
59558	Inter	Exklusiv	129,86
59558	Interlloyd	Classic	64,02
59558	Interlloyd	ProtectPlus	85,77
59558	Interlloyd	EurosecurePlus	86,42
59558	Janitos	Basic	91,44
59558	Janitos	Balance	94,16
59558	Janitos	BestSelection	119,17
59558	LBN	Gut	56,17
59558	LBN	Gut Plus	59,79
59558	LBN	Besser	71,27
59558	LBN	Besser Plus	81,54
59558	Medien-Versicherung	Klassik	35,63
59558	Medien-Versicherung	Top	42,88
59558	Medien-Versicherung	Premium	52,55
59558	Oberösterreichische	DaHeim	66,64
59558	Oberösterreichische	DaHeim Premium	83,97
59558	Prokundo	Komfort+	66,44
59558	Prokundo	Exklusiv+	88,79
59558	Rhion	Standard	85,77
59558	Rhion	Plus	136,26
59558	Rhion	Premium	148,82
59558	Schleswiger	Klassik	72,48
59558	Schleswiger	Exklusiv	97,84
59558	Signal Iduna	Optimal	93,11
59558	Signal Iduna	Exklusiv	145,44
59558	Syncro	Platinum S	56,17
59558	Syncro	Platinum M	65,83
59558	Syncro	Platinum L	78,52
59558	VHV	Klassik-Garant	86,97
59558	VHV	Exklusiv	111,49
59558	VHV	Exklusiv mit Best-Leistungs-Garantie	128,22
59558	Volkswohl-Bund	Komfort	90,60
59558	Volkswohl-Bund	KomfortPlus	120,80
21493	Adcuri	Top	83,53
21493	Adcuri	Premium	108,02
21493	Allstern	1 Stern	67,65
21493	Allstern	2 Sterne	72,48
21493	Allstern	3 Sterne	90,60
21493	Ammerländer	Basic	27,18
21493	Ammerländer	Economic	36,24
21493	Ammerländer	Comfort	48,32
21493	Ammerländer	Exclusiv	54,36
21493	Ammerländer	Excellent	63,42
21493	ARAG	Basis	111,20
21493	ARAG	Komfort	140,80
21493	ARAG	Premium	180,80
21493	asspario	fair select	70,67
21493	asspario	best select	89,99
21493	asspario	top select	95,43
21493	Baden-Badener	Hausratversicherung	162,03
21493	BarmeniaDirekt	Kompakt-Schutz	61,07
21493	BarmeniaDirekt	Basis-Schutz	63,10
21493	BarmeniaDirekt	Top-Schutz	83,51
21493	BarmeniaDirekt	Premium-Schutz	107,99
21493	BavariaDirekt	Junge Leute	70,38
21493	BavariaDirekt	Einfach Sicher	77,65
21493	BavariaDirekt	Junge Leute Plus	77,65
21493	BGV / Badische Versicherungen	Basis	67,50
21493	BGV / Badische Versicherungen	Klassik	101,83
21493	BGV / Badische Versicherungen	Exklusiv	135,30
21493	DEVK	Komfort	86,80
21493	DEVK	Premium	107,52
21493	die Bayerische	Smart	74,50
21493	die Bayerische	Komfort	87,70
21493	die Bayerische	Prestige	99,40
21493	Die Haftpflichtkasse	Einfach Gut	114,76
21493	Die Haftpflichtkasse	Einfach Besser	138,92
21493	Die Haftpflichtkasse	Einfach Komplett	162,15
21493	DOCURA	SMART	61,61
21493	DOCURA	PROTECT	83,95
21493	ERGO	Hausratversicherung	212,00
21493	ERGO	Premium Hausratversicherung	259,21
21493	Gothaer	Hausrat	85,49
21493	Gothaer	HausratTop	133,12
21493	Gothaer	HausratTop mit PlusDeckung	147,46
21493	Grundeigentümer	Pro Domo Basis	83,35
21493	Grundeigentümer	Pro Domo Kompakt	102,07
21493	Grundeigentümer	Pro Domo Premium	119,03
21493	GVO	VIT Junge Leute	99,78
21493	GVO	TOP-VIT Junge Leute	134,45
